"Longitude","Latitude","Grid","anomaly_temp","anomaly_prec"
-37.2,-8.8,6440,-225.829936981201,132
-37.2,-10.8,6441,-248.13203048706,322
-35.2,-6.8,6529,-251.701021194458,122
-35.2,-8.8,6530,-238.035207748413,145
-15.2,13.2,7419,-278.793113708496,122
-15.2,11.2,7420,-267.517272949219,138
-13.2,13.2,7509,-293.130365371704,143
-13.2,11.2,7510,-274.428510665894,318
-13.2,9.2,7511,-286.699884414673,52
-11.2,13.2,7599,-291.818614959717,99
-11.2,11.2,7600,-263.818290710449,106
-11.2,9.2,7601,-253.16237449646,113
-9.2,39.2,7676,-162.393926620483,95
-9.2,31.2,7680,-162.994801521301,117
-9.2,13.2,7689,-287.862384796143,28
-9.2,11.2,7690,-270.268686294556,-4
-9.2,9.2,7691,-242.344511032104,-144
-9.2,7.2,7692,-251.966802597046,-93
-7.2,43.2,7764,-137.064489364624,459
-7.2,41.2,7765,-151.3741979599,272
-7.2,39.2,7766,-178.821260452271,76
-7.2,37.2,7767,-191.305253982544,129
-7.2,31.2,7770,-158.503739356995,86
-7.2,13.2,7779,-282.735677719116,-135
-7.2,11.2,7780,-273.898145675659,3
-7.2,9.2,7781,-262.215084075928,-103
-7.2,7.2,7782,-254.929010391235,-95
-5.2,57.2,7847,-71.1150417327881,734
-5.2,43.2,7854,-123.525364875793,175
-5.2,41.2,7855,-148.837124824524,100
-5.2,39.2,7856,-185.776156425476,124
-5.2,37.2,7857,-200.726417541504,72
-5.2,35.2,7858,-182.546521186829,221
-5.2,33.2,7859,-142.43538570404,-195
-5.2,13.2,7869,-281.743593215942,-116
-5.2,11.2,7870,-272.199468612671,-84
-5.2,9.2,7871,-266.534698486328,-83
-5.2,7.2,7872,-266.709457397461,-2
-3.2,57.2,7937,-73.2459478378296,36
-3.2,55.2,7938,-89.7453956604004,142
-3.2,53.2,7939,-104.368321418762,-103
-3.2,43.2,7944,-142.636219024658,129
-3.2,41.2,7945,-120.997896194458,46
-3.2,39.2,7946,-173.171385765076,62
-3.2,37.2,7947,-152.6930103302,65
-3.2,13.2,7959,-290.865770339966,-119
-3.2,11.2,7960,-284.251541137695,-143
-3.2,9.2,7961,-269.204259872437,-145
-3.2,7.2,7962,-266.589593887329,-68
-1.2,53.2,8029,-114.990551948547,-58
-1.2,51.2,8030,-114.358843803406,-56
-1.2,49.2,8031,-132.767853736877,1
-1.2,47.2,8032,-137.493770599365,-5
-1.2,43.2,8034,-147.806812286377,76
-1.2,41.2,8035,-139.103052139282,16
-1.2,39.2,8036,-165.949833869934,36
-1.2,35.2,8038,-193.251708984375,55
-1.2,13.2,8049,-285.770416259766,-192
-1.2,11.2,8050,-281.158540725708,-103
-1.2,9.2,8051,-287.648780822754,-78
-1.2,7.2,8052,-267.551750183106,-57
0.8,51.2,8120,-116.263333320618,-19
0.8,49.2,8121,-124.570520401001,14
0.8,47.2,8122,-139.708031654358,-39
0.8,45.2,8123,-145.511052131653,64
0.8,43.2,8124,-148.724656105042,316
0.8,41.2,8125,-166.180125236511,42
0.8,13.2,8139,-290.317687988281,-220
0.8,11.2,8140,-287.420530319214,-161
0.8,9.2,8141,-273.095697402954,-130
0.8,7.2,8142,-238.302614212036,-47
2.8,49.2,8211,-130.7579164505,-42
2.8,47.2,8212,-134.498447418213,-33
2.8,45.2,8213,-106.680145740509,67
2.8,43.2,8214,-170.682229042053,-17
2.8,13.2,8229,-291.92022895813,-247
2.8,11.2,8230,-283.087228775024,-207
2.8,9.2,8231,-268.428781509399,-161
2.8,7.2,8232,-269.856895446777,32
4.8,51.2,8300,-125.744083404541,-52
4.8,49.2,8301,-128.789916992188,-71
4.8,47.2,8302,-125.832864761353,-40
4.8,45.2,8303,-142.462510108948,3
4.8,13.2,8319,-289.443906784058,-311
4.8,11.2,8320,-275.643156051636,-205
4.8,9.2,8321,-277.905813217163,-188
4.8,7.2,8322,-261.313667297363,-60
6.8,53.2,8389,-112.863718986511,-79
6.8,51.2,8390,-132.412875175476,-136
6.8,49.2,8391,-126.454010009766,50
